Name,Days Since Last Practiced,Freq,Last Practiced,Tune Type,Tunes,☑️ Practiced
Glen Cottage / Danny Abs / Dan O’Keefe’s,54,5,"February 22, 2026",Polka,"The Glen Cottage  (https://www.notion.so/The-Glen-Cottage-cf72b36bfba648d78171f08a61d5e11e?pvs=21), Danny Ab’s (https://www.notion.so/Danny-Ab-s-610b2b11a3cb4189b2937fefdaa3e928?pvs=21), Dan O’Keefe’s  (https://www.notion.so/Dan-O-Keefe-s-a830ff33c4df49a79b12a2214cc5efc5?pvs=21)",
Ballydesmond Polkas,11,5,"April 6, 2026",Polka,"The Ballydesmond Polka #1 (https://www.notion.so/The-Ballydesmond-Polka-1-fc086c82dcde4265b2300c31ce4bba3d?pvs=21), The Ballydesmond Polka #2 (https://www.notion.so/The-Ballydesmond-Polka-2-fd22f73c57174270884b9c6803d3cc1e?pvs=21), The Ballydesmond Polka #3 (https://www.notion.so/The-Ballydesmond-Polka-3-00a5d186ae494b25967004a77533d9ae?pvs=21)",
End of the Day / Cheer Up Old Hag / Nora Crionna,,5,,"Jig, Single Jig","End of the Day (https://www.notion.so/End-of-the-Day-0f0585d87b9e4e44a408ff041a603767?pvs=21), Cheer Up Old Hag (https://www.notion.so/Cheer-Up-Old-Hag-ced556925c54420e878a8e214314f19a?pvs=21), Nóra Chríonna (https://www.notion.so/N-ra-Chr-onna-1aa04f42e3e0808c9498d8b9dc66286d?pvs=21)",
Mulvihill Polka Set,11,5,"April 6, 2026",Polka,"Paddy Scanlon's Polka (https://www.notion.so/Paddy-Scanlon-s-Polka-fb6995895542481682e795b4f0bc2c0e?pvs=21), Buddy Furey’s (https://www.notion.so/Buddy-Furey-s-e45acc6b1d97494dabd21653aaa01fd3?pvs=21), The Kinnard Polka (https://www.notion.so/The-Kinnard-Polka-8cd47c2543e74821a69df6f40dcb4b5a?pvs=21)",
" Munster Jig/Humours of Lisheen/Drake’s Lad",19,5,"March 29, 2026",Jig,"The Munster Jig (https://www.notion.so/The-Munster-Jig-b1bdf3f5de794d8a85be3b07b4ded564?pvs=21), Humours of Lisheen (https://www.notion.so/Humours-of-Lisheen-96be6557804240c4b1f73ae7081b2ec1?pvs=21), Drake’s Lad (https://www.notion.so/Drake-s-Lad-002321b8de6c45499d1365d753ad7557?pvs=21)",
"Geese in the Bog / Maid in the Meadow / Lark in the Morning  ",7,5,"April 10, 2026",Jig,"The Maid in the Meadow (https://www.notion.so/The-Maid-in-the-Meadow-7e50a54798064e4e8de541296da59f9b?pvs=21), Lark in the Morning (https://www.notion.so/Lark-in-the-Morning-7c439528f9eb4d8c9cb3d7386dc1761a?pvs=21), Geese in the Bog (https://www.notion.so/Geese-in-the-Bog-30804f42e3e0807ea981e967dd02e450?pvs=21)",
The Humours of Ballyloughlin / The Luachrachán’s / Jim Ward’s,41,5,"March 7, 2026",Jig,"Humours of Ballyloughlin (https://www.notion.so/Humours-of-Ballyloughlin-a8a2937f76c54d2e82642d739a2f18d9?pvs=21), The Luachrachán’s (https://www.notion.so/The-Luachrach-n-s-1e704f42e3e080a58001de02011e8842?pvs=21), Jim Ward’s  (https://www.notion.so/Jim-Ward-s-1dd04f42e3e080279ed6cc934988500f?pvs=21)",
Timmy Connor’s / Leather Away the Waddle O / Up On the Wagon,38,6,"March 10, 2026",Polka,"Timmy O’Connor’s  (https://www.notion.so/Timmy-O-Connor-s-a8f79c03595b4241a138009c370c2444?pvs=21), Leather Away the Wattle-O (https://www.notion.so/Leather-Away-the-Wattle-O-151b2c78f91a4604a678644ca33f1d96?pvs=21), Up On the Wagon (https://www.notion.so/Up-On-the-Wagon-b85dc676e75e497790c148e4ad87e924?pvs=21)",
"Road to Abbeyfeale / Lord Kitchener’s Pipes / Tom Billy’s ",20,4,"March 28, 2026",Jig,"Tom Billy’s (https://www.notion.so/Tom-Billy-s-17d04f42e3e0809b8cc6c405fd8bb75e?pvs=21), The Road to Abbeyfeale (https://www.notion.so/The-Road-to-Abbeyfeale-2bd04f42e3e0809685c1d85abb7fcf24?pvs=21), Lord Kitchener’s Pipes (https://www.notion.so/Lord-Kitchener-s-Pipes-51f2528fac37420dbae11dd2eb3447e3?pvs=21)",
Paddy Cronins / Timmy Collins’ / Rubber Band Slides,47,6,"March 1, 2026",Slide,"Paddy Cronin’s (https://www.notion.so/Paddy-Cronin-s-16e04f42e3e0802091f1c5bd9410fd87?pvs=21), Timmy Collins’ (https://www.notion.so/Timmy-Collins-17904f42e3e080ce9473f3b6d0309604?pvs=21), The Rubber Band  (https://www.notion.so/The-Rubber-Band-18504f42e3e08000bc3cc7e05e6986bc?pvs=21)",
